trolley_code,customer_code,customer_name,location_kind,days_at_location,source_wash_item_id,source_area,source_processed_at,trolley_type
T3312025T,CID-FARR-2003F,FARRANLEA,CUSTOMER,30,WI20260804-01-NZVPDZBC,FINISH,2026-08-04 17:10:20,Small
T7272025T,CID-STJO-96335,ST JOSEPHS,CUSTOMER,37,WI20260804-01-T33U5LKU,MOP,2026-08-04 08:00:40,Small
T4582025T,CID-STJO-96335,ST JOSEPHS,CUSTOMER,37,WI20260804-01-T33U5LKU,MOP,2026-08-04 08:00:40,Small
T4112025T,CID-STJO-96335,ST JOSEPHS,CUSTOMER,37,WI20260804-01-T33U5LKU,MOP,2026-08-04 08:00:40,Small
T0742025T,CID-STJO-96335,ST JOSEPHS,CUSTOMER,37,WI20260804-01-T33U5LKU,MOP,2026-08-04 08:00:40,Small
T7362025T,CID-HEAT-20E55,HEATHER HOUSE,CUSTOMER,52,WI20260804-01-RV112WSY,FINISH,2026-08-04 19:30:47,Medium
T4402025T,CID-HEAT-20E55,HEATHER HOUSE,CUSTOMER,52,WI20260804-01-RV112WSY,FINISH,2026-08-04 19:30:47,Medium
T1342025T,CID-HEAT-20E55,HEATHER HOUSE,CUSTOMER,52,WI20260804-01-RV112WSY,FINISH,2026-08-04 19:30:47,Small
T0222025T,CID-HEAT-20E55,HEATHER HOUSE,CUSTOMER,52,WI20260804-01-OOXKK6J3,MOP,2026-08-04 11:48:11,Small
T3172025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,0,WI20260803-01-KD4W4FPQ,FINISH,2026-08-04 09:49:05,Large
T0022025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,1,WI20260803-01-KD4W4FPQ,FINISH,2026-08-04 09:49:05,Large
T5022025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,2,WI20260801-01-7SOGGZRE,FINISH,2026-08-03 13:13:02,Large
T2872025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,3,WI20260801-01-7SOGGZRE,FINISH,2026-08-03 13:13:02,Medium
T1262025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,5,WI20260729-01-GW34AV8N,FINISH,2026-07-30 09:13:39,Large
T3522025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,7,WI20260729-01-GW34AV8N,FINISH,2026-07-30 09:13:39,Large
T3642025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,10,WI20260728-01-M78WIC,FINISH,2026-07-29 11:22:27,Large
T1882025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,14,WI20260728-01-M78WIC,FINISH,2026-07-29 11:22:27,Medium
T2522025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,21,WI20260727-01-WQ9U25,FINISH,2026-07-27 22:14:47,Medium
T4682025T,CID-ASHB-C5099,ASHBURY,ELIS_LAUNDRY,30,WI20260727-01-WQ9U25,FINISH,2026-07-27 22:14:47,Large
T1872025T,CID-THEP-F25CD,THE PARK,ELIS_LAUNDRY,45,WI20260804-01-GRYLGF0F,FINISH,2026-08-04 15:00:43,Medium
T7842025T,CID-THEP-F25CD,THE PARK,ELIS_LAUNDRY,60,WI20260804-01-GRYLGF0F,FINISH,2026-08-04 15:00:43,Small
